## Sheet: Forecast
 |  | Power Grid Bangladesh PLC
 |  | National Load Dispatch Center (NLDC)
 |  | Forecasted Generation & Demand of National Grid
 | Date : | 28-06-2026
Sl. | Name of the
 Power Station | Fuel | Producer | Installed Capacity |  | Present Capacity | Actual Generation on |  | Forecasted Available Gen. on |  | Effective Available Gen. on |  | Remarks
 |  |  |  |  |  |  | 27-06-2026 | during | 28-06-2026 | during | 28-06-2026 | during
 |  |  |  |  |  |  | Day Peak | Ev. Peak | Day Peak | Ev. Peak | Day Peak | Ev. Peak
 |  |  |  | Unit No. X Capacity | MW | MW | MW | MW | MW | MW | MW | MW
Probable Maximum Temperature: |  |  | 36.80°C
Probable Maximum Demand at Day Peak: |  |  | 16050.00 MW |  | Total Load Shed forecast (in MW) at evening peak hr. (Sub-station End): |  |  |  |  |  | 2397
Probable Maximum Demand at Evening Peak: |  |  | 17920.00 MW |  | Area Wise Load Shed forecast (in MW) at evening peak hr. (Sub-station End):
Probable Maximum Generation at Evening Peak: |  |  | 15650.00 MW |  | Dhaka | Chittagong | Cumilla | Mymensingh | Sylhet | Khulna | Barishal | Rajshahi | Rangpur | Total
Probable Total Energy Generation: |  |  | 343.71 MKWHr. |  | 500 | 160 | 300 | 377 | 180 | 280 | 140 | 270 | 190 | 2397
 | *** This report is generated digitally from Operation Information System (OIS) at 10:13 hrs on 28-06-2026
 |  | Sub-Divisional Engineer |  |  |  |  |  |  | Executive Engineer
 |  | Network Operation Division |  |  |  |  |  |  | Network Operation Division
## Sheet: P1
 |  |  |  | Power Grid Bangladesh PLC
 |  |  |  | National Load Dispatch Center (NLDC)
 |  |  |  | System Summary Report
 |  | Date : | 27-06-2026
 |  |  | Power Supply Scenario
 | Day Peak Generation |  |  | 13725.37 | MW | 12:00 Hr. | Energy Generated |  |  | 340.18957446 |  | MKWHr.
 | Day Peak Demand |  |  | 14831.37 | MW | 12:00 Hr. | Energy Unserverd |  |  | 42.784 |  | MKWHr.
 | Evening Peak Generation |  |  | 15298.25 | MW | 21:00 Hr. | Energy Demand |  |  | 382.97357446 |  | MKWHr.
 | Evening Peak Demand |  |  | 18301.25 | MW | 21:00 Hr. | Maximum Temperature |  |  | 35.4 |  | °C
 | Minimum Generation of the Day |  |  | 13201.11 | MW | 09:00 Hr. | Total Gas Supplied |  |  | 905.31 |  | MMCFD
 | Maximum Generation of the Day |  |  | 15348.44 | MW | 22:00 Hr. | Production Cost per KWHr |  |  | 6.383323770146968 |  | Tk.
 |  |  | Zone-wise Generation Summary (MKWHr.)
 |  |  |  | Gas | Coal | HFO | HSD | Hydro | Solar | Import | Wind | Total
 | Dhaka Zone |  |  | 40.83086155 | 0 | 9.283287 | 0 | 0 | 0.212025 | 0 | 0 | 50.32617355 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Gas | 127.6191281 | Gas | 441453946.9695
 | Chattogram Zone |  |  | 5.502021 | 35.65999764 | 6.4610898 | 0 | 2.13302 | 0.142566 | 0 | 0.2424 | 50.14109444 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Coal | 114.933812 | Coal | 762247972.588
 | Cumilla Zone |  |  | 28.415573 | 0 | 3.112214 | 0 | 0 | 0.400618 | 3.94272 | 0 | 35.871125 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | HFO | 28.4987188 | HFO | 501981149.128
 | Mymensingh Zone |  |  | 0.14304 | 0 | 2.90424 | 0 | 0 | 0.449852 | 0 | 0 | 3.497132 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | HSD | 0.685727 | HSD | 13851685.4
 | Sylhet Zone |  |  | 26.97314855 | 0 | 0 | 0 | 0 | 0.065072 | 0 | 0 | 27.03822055 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Hydro | 2.13302 | Hydro | 213302.0
 | Khulna Zone |  |  | 0 | 16.399997 | 0.761792 | 0.685727 | 0 | 0.66816 | 21.977455 | 0 | 40.493131 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Solar | 4.74568456 | Solar | 75436001.5312
 | Barishal Zone |  |  | 6.77423 | 57.42672636 | 1.166591 | 0 | 0 | 0.003955 | 0 | 0 | 65.37150236 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Import | 61.331084 | Import | 372790435.39
 | Rajshahi Zone |  |  | 18.980254 | 0 | 2.140742 | 0 | 0 | 1.594834 | 35.410909 | 0 | 58.126739 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Wind | 0.2424 | Wind | 3565704.0
 | Rangpur Zone |  |  | 0 | 5.447091 | 2.668763 | 0 | 0 | 1.20860256 | 0 | 0 | 9.32445656
 | Total |  |  | 127.6191281 | 114.933812 | 28.4987188 | 0.685727 | 2.13302 | 4.74568456 | 61.331084 | 0.2424 | 340.18957446
 |  |  |  | Production Cost (Tk.)
 |  |  |  | Fuel | Tk. |  | Fuel | Tk.
 |  |  |  | Gas | 441453946.9695 |  | Hydro | 213302
 |  |  |  | Coal | 762247972.588 |  | Solar | 75436001.5312
 |  |  |  | HFO | 501981149.128 |  | Import | 372790435.39
 |  |  |  | HSD | 13851685.4 |  | Wind | 3565704
 |  |  |  |  | Total: | 217,15,40,197 |  | Tk.
E-W Interconnector & Import Scenario
Energy Flow from East to West: |  |  | KWHr: | 0 |  | Import through HVDC C/B Interconnector: |  |  | MKWHr: | 21.065455 | Peak Hr Flow | 798.00 MW at 21:00 hrs.
Energy Flow from West to East: |  |  | KWHr: | 51918000 |  | Import through Adani C/B Interconnector: |  |  | MKWHr: | 35.410909 | Peak Hr Flow | 1476.39 MW at 21:00 hrs.
Power Flow during Peak Demand (W-E): |  |  | MW: | 2193 |  | Import through Cumilla C/B Interconnector: |  |  | MKWHr: | 3.94272 | Peak Hr Flow | 154.00 MW at 21:00 hrs.
Maximum Power Flow (W-E): |  |  | MW: | 3010 |  | Total Import through C/B Interconnector: |  |  | MKWHr: | 60.419084 | Peak Hr Flow | 2428.39 MW at 21:00 hrs.
 |  |  | Zone-wise Load-shed and Demand Summary (MW) at evening peak Hour (21:00 Hr.)
 |  |  |  | Zone |  | Load-Shed |  | Demand
 |  |  |  | Dhaka |  | 538 |  | 6313
 |  |  |  | Chattogram |  | 162 |  | 1588
 |  |  |  | Cumilla |  | 343 |  | 1712
 |  |  |  | Mymensingh |  | 519 |  | 1550
 |  |  |  | Sylhet |  | 247 |  | 784
 |  |  |  | Khulna |  | 375 |  | 2081
 |  |  |  | Barishal |  | 142 |  | 570
 |  |  |  | Rajshahi |  | 352 |  | 1891
 |  |  |  | Rangpur |  | 196 |  | 1136
 |  |  |  | Total |  | 2874 |  | 17625
 |  | Status of unavailable Power Plant
 |  | Planned S/D |  |  |  |  | Forced S/D
 |  | Sl | Plant Name |  |  | Capacity | Sl | Plant Name |  |  | Capacity
 |  | 1 | Baghabari  100 MW GTPP |  |  | 100 | 1 | Tangail Palli Power Gen 22 MW |  |  | 22
 |  | 2 | Barapukuria TPP  Unit-2 |  |  | 85 | 2 | Karnaphuli Hydro PP Unit-3 |  |  | 50
 |  | 3 | Siddhirgonj 210 MW  TPP |  |  | 115
 |  |  |  |  | Total | 300 |  |  |  | Total | 72
 |  |  |  | Total Unavailable Capacity |  |  |  | 372
 |  |  |  |  | Event Summary
 | Outage Time | Restoration Time | Description of Event |  |  |  |  |  |  |  | Description of Event
 | 08:11 | 10:34 | Feni 132/33kV S/S T-1(405T) HT Scheduled S/D Due to 33 KV PDB Salauddin Feeder |  |  |  |  |  |  |  | 25.0MW load
 |  |  | Maintenance Work |  |  |  |  |  |  |  | interrup.
 | 08:11 | 10:34 | Feni 132/33kV S/S T-1(405T) LT Scheduled S/D Due to 33 KV PDB Salauddin Feeder |  |  |  |  |  |  |  | 25.0MW load
 |  |  | Maintenance Work |  |  |  |  |  |  |  | interrup.
 |  | 08:20 | Chandpur 132/33kV S/S 402T (T-01) HT is restored.
 |  | 08:20 | Chandpur 132/33kV S/S 402T (T-01) LT is restored.
 |  | 08:20 | Chandpur 132/33kV S/S 33 kV T-1 Section is restored.
 | 08:20 |  | Chandpur 132/33kV S/S 422T(T-5) LT Scheduled S/D
 | 08:57 | 19:32 | Korerhat 400/230/132kV S/S ATR-3(7103T) LT Project Work S/D Due to Project work
 | 08:59 | 19:30 | Korerhat 400/230/132kV S/S ATR-4(7403T) HT Project Work S/D Due to Project work
 | 09:15 | 10:56 | Barishal 132/33kV S/S T-1 (405T) LT Scheduled S/D Due to 33 kv Jhallokati Wzpdco feeder |  |  |  |  |  |  |  | 40.0MW load
 |  |  | red hot maintenance  Work |  |  |  |  |  |  |  | interrup.
 | 09:16 | 10:54 | Barishal 132/33kV S/S T-1 (405T) HT Scheduled S/D Due to 33 kv Jhalokati wzpdco feeder |  |  |  |  |  |  |  | 40.0MW load
 |  |  | red hot maintenance work. |  |  |  |  |  |  |  | interrup.
 | 09:30 | 10:49 | Jhenaidah 230/132kV S/S Jhenaidah2-Jashore Ckt-1 Scheduled S/D Due to Project Work
 |  | 09:33 | Sunamganj 132/33kV S/S Chhatak-Sunamgonj CKT-2 is restored.
 | 09:56 | 12:20 | Kalurghat 132/33kV S/S TRFO-01(506T) LT Tripped showing REF 615 relays Due to BPDB |  |  |  |  |  |  |  | 10.0MW load
 |  |  | maintenance |  |  |  |  |  |  |  | interrup.
 | 10:00 |  | Rampal 1320 MW (BIFPCL) unit-2 was forced shutdown due to a problem with boiler feed
 |  |  | water pump.
 | 10:03 | 16:25 | Madunaghat 132/33kV S/S TR-2(517T) LT Forced S/D Due to 33 kV grounding recovery and high
 |  |  | temperature maintenance.
 | 10:04 | 16:27 | Madunaghat 132/33kV S/S TR-2(517T) HT Forced S/D Due to 33 kV grounding recovery and high
 |  |  | temperature maintenance.
 | 10:12 | 18:18 | BIPTC S/S Baharampur-4 Scheduled S/D Due to Shutdown is taken by baharampur end.
 | 10:55 |  | Sirajgonj 225MW CCPP Unit-1 Synchronized with remarks:- GT
 | 10:55 |  | Sirajganj unit-1 GT was sync.
 | 12:00 |  | Day Peak Generation: 13,726 MW.
 | 12:44 | 18:56 | Joypurhat-Naogaon  132kV Ckt-1 Scheduled S/D from Joypurhat 132/33kV end Due to S/D taken
 |  |  | at Noagaon ss end
 | 14:12 | 21:16 | Joypurhat 132/33kV S/S Patnitola Ckt.-1 Scheduled S/D Due to Poject Work
 | 14:13 | 21:17 | Joypurhat 132/33kV S/S Patnitola Ckt.-2 Scheduled S/D Due to Poject Work
 |  | 15:00 | Bhulta 132/33kV S/S GT2 HT is restored.
 | 15:31 |  | Sirajgonj 225MW CCPP Unit-1 Synchronized with remarks:- ST
 | 15:55 | 16:13 | Cox'sbazar-Dohazari 132 kV Ckt-2 Tripped from Coxsbazar 132/33kV end showing Distance
 |  |  | relays. and from Dohazari 132/33kV end showing General trip,
R phase trip,
Zone-01 trip
 |  |  | relays.
 |  | 17:28 | Jhenaidah 230/132kV S/S 230 kV Bus is restored.
 |  | 18:04 | Jhenaidah-Khulna  230kV Ckt-1 is restored.
 |  | 19:30 | Korerhat 400/230/132kV S/S ATR-4(7403T) HT is restored.
 | 20:56 |  | Sirajgonj 225MW CCPP Unit-2 Shutdown with remarks:- ST
 | 21:10 |  | Sirajgonj 225MW CCPP Unit-2 Shutdown with remarks:- GT
 | 21:14 | 21:19 | Sylhet_(South) 132/33kV S/S Trafo-2 LT Tripped showing BCPU relay. relays Due to 33 kv |  |  |  |  |  |  |  | 41.0MW load
 |  |  | Moglabazar feeder breaker insulator crack. and 33 kv gotatikor feeder fault. |  |  |  |  |  |  |  | interrup.
 | 21:14 | 21:19 | Sylhet_(South) 132/33kV S/S Trafo-1 LT Tripped showing BCPU relay. relays Due to 33 kv |  |  |  |  |  |  |  | 41.0MW load
 |  |  | Moglabazar feeder breaker insulator crack. and 33 kv gotatikor feeder fault. |  |  |  |  |  |  |  | interrup.
 |  | 21:15 | Gopalganj 132/33kV S/S Gallamari-1 is restored.
 |  | 21:15 | Gopalganj 132/33kV S/S Gallamari-2 is restored.
 | 21:15 | 21:25 | Chattak-Sylhet 132 kV Ckt-2 Tripped from Sylhet 132/33kV end showing Distance relays Due |  |  |  |  |  |  |  | 40.0MW load
 |  |  | to Distance protection Operated |  |  |  |  |  |  |  | interrup. Sylhet
 |  |  |  |  |  |  |  |  |  |  | 132/33kV end
 |  | 21:16 | Gallamari- Khulna (S)  132kV Ckt-1 is restored.
 |  | 21:16 | Gallamari- Khulna (S)  132kV Ckt-2 is restored.
 | 21:20 | 21:48 | Sylhet_(South) 132/33kV S/S Trafo-2 LT Forced S/D Due to 33 kv Moglabazar feeder breaker |  |  |  |  |  |  |  | 41.0MW load
 |  |  | insulator crack. and 33 kv gotatikor feeder fault. |  |  |  |  |  |  |  | interrup.
 | 21:20 | 21:47 | Sylhet_(South) 132/33kV S/S Trafo-1 LT Forced S/D Due to 33 kv Moglabazar feeder breaker |  |  |  |  |  |  |  | 41.0MW load
 |  |  | insulator crack. and 33 kv gotatikor feeder fault. |  |  |  |  |  |  |  | interrup.
 | 03:00 |  | Minimum Generation: 13712 MW.
 | 06:05 |  | Shyampur 230/132kV S/S 230 kV APR (D04) Scheduled S/D Due to NLDC Requirements
 | 07:05 | 07:24 | Sonargaon 132/33kV S/S Tr-2 LT Scheduled S/D Due to Due to PBS 33KV bus coupler  bypass |  |  |  |  |  |  |  | 100.0MW load
 |  |  | under T2. |  |  |  |  |  |  |  | interrup.
 |  | 07:30 | Sonargaon 132/33kV S/S Tr-1 HT is restored.
 |  | 07:42 | Sonargaon 132/33kV S/S Tr-1 LT is restored.
 |  | Sub-Divisional Engineer |  |  |  | Executive Engineer |  |  |  | Superintendent Engineer
 |  | Network Operation Division |  |  |  | Network Operation Division |  |  |  | Network Operation Division
## Sheet: P2
 |  |  | Power Grid Bangladesh PLC
 |  |  | National Load Dispatch Center (NLDC)
 |  |  | EVENING PEAK GENERATION AND DAY LONG ENERGY DATA OF POWER STATIONS
 |  | Date : | 27-06-2026
 | Sl. | Name of the
 Power Stations |  | Producer | Installed Capacity | Present Capacity | Peak Hour Generation | Energy Generated | Remarks
 |  |  |  |  | Unit No. X Capacity | MW | MW | KWH
 | 1 | Ghorasal Repowered CCPP Unit-3 |  | PDB | 1*260 | 260 | 0 | 0 | GT is under maintenance
 | 2 | Ghorasal Repowered CCPP Unit-4 |  | PDB | 1*210 | 240 | 0 | 0 | Gas shortage
 |  | Ghorasal TPP Unit-5 |  | PDB | 1*210 | 190 | 0 | 0 | Gas shortage
 | 3 | Ghorasal 365 MW CCPP Unit-7 |  | PDB | 1*243+1*122 | 365 | 0 | 0 | Gas shortage
 | 4 | Ghorashal 108 MW PP (Regent) |  | IPP | 34*3.35 | 97.7 | 0 | 0 | Gas (RMS) problem
 | 5 | Haripur GTPP |  | SBU,PDB | 32*2 | 20 | 0 | 0 | -
 | 6 | Haripur 412 MW CCPP |  | EGCB | 1*273+1*139 | 412 | 375 | 9000000 | AGC
 |  | Haripur 360 MW CCPP (HPL) |  | IPP | 1*235+1*125 | 0 | 0 | 0 | Contract Expired
 | 7 | Meghnaghat 450 MW CCPP (MPL) |  | IPP | 2*150+1*150 | 450 | 0 | 0 | Gas shortage
 | 8 | Meghnaghat CCPP(Summit) |  | IPP | 2*110+1*110 | 335 | 0 | 0 | Gas shortage
 | 9 | Madanganj-55 MW PP(Summit) |  | IPP | 3*17+1*11.3 | 55 | 55 | 1273060 | Liquid fuel shortage
 | 12 | Siddhirgonj 210 MW TPP |  | PDB | 1*210 | 115 | 0 | 0 | Under Major Overhauling
 | 13 | Siddhirgonj 2*120 MW GTPP |  | EGCB | 2*105 | 210 | 0 | 0 | Gas shortage
 | 14 | Siddhirganj 335 MW CCPP |  | EGCB | 1*217+118 | 335 | 296 | 7284312 | Gas shortage
 | 15 | Gagnagar 102 MW PP (Digital Power) |  | IPP | 12*8.924 | 102 | 0 | 0 | Liquid fuel shortage
 | 17 | Kamalaghat 54 MW PP(Banco Energy) |  | IPP | 3*18 | 53.97 | 35 | 219960 | Liquid fuel shortage
 | 18 | Kodda 150 MW PP BRPL |  | PDB-RPCL | 9*17.06 | 149.36 | 15 | 223680 | Liquid fuel shortage
 | 18 | Manikganj 55 MW PP (Northern) |  | IPP | 19.3*3 | 55 | 35 | 531735 | Liquid fuel shortage
 | 20 | Nababganj 55 MW PP (Southern power ) |  | IPP | 19.3*3 | 55 | 35 | 270277 | Liquid fuel shortage
 | 22 | Summit Power Ashulia |  | IPP | 0 | 33.75 | 20 | 501600 | Low gas pressure
 | 22 | Summit Power Madhabdi |  | IPP | 3*3.67+4*8.73 | 23 | 17 | 374040 | -
 | 25 | Gazipur 52 MW PP |  | RPCL | 6*8.9 | 52.194 | 25 | 50880 | Liquid fuel shortage
 | 26 | Tongi 80 MW GTPP |  | PDB | 1* 105 | 105 | 0 | 0 | Under Maintenance of Exciter
 | 27 | Kodda 300 MW PP Unit-2 (Summit) |  | IPP | 18*17.06 | 300 | 146 | 2639815 | Liquid fuel shortage
 | 28 | Kodda 149 MW PP Unit-1 (Summit) |  | IPP | 8*18.45+8.97 | 149 | 132 | 1398240 | Liquid fuel shortage
 | 29 | Gazipur 100 MW PP |  | RPCL | 6*17.5 | 105 | 17 | 172800 | Liquid fuel shortage
 | 30 | Meghnaghat 104 MW PP (OPCL) |  | IPP | 6*18.5 | 104 | 0 | 0 | Liquid fuel shortage
 | 31 | Manikgonj 162MW PP(MPGL) |  | IPP | 9*18 | 162 | 162 | 1048320 | Liquid fuel shortage
 | 32 | Spectra Solar Plant Ltd. |  | IPP | 0 | 35 | 0 | 212025 | -
 | 33 | Kanchan Purbachal Power Generation Ltd. |  | IPP | 18.4*3 | 55 | 0 | 110520 | Liquid fuel shortage
 | 34 | Unique Meghnaghat Power Limited (UMPL) |  | IPP | 0 | 584 | 480 | 11730454.55 | AGC+Gas shortage
 | 35 | Meghnaghat CCPP(Summit)-2 |  | IPP | 1*409+1*202 | 583 | 370 | 11940455 | FGMO
 |  | JERA Meghnaghat Power Limited |  | IPP | 250*2+268 | 718 | 0 | 0 | Gas shortage
 |  | Sreepur 150 MW PP BRPL |  | PDB-RPCL | 9*18 | 160 | 142 | 1344000 | Engine Problem
 | Dhaka Area Total |  |  |  |  | 6668.974 | 2357 | 50326173.55
 | 36 | Chattogram TPP |  | PDB | 1*210+1*210 | 360 | 0 | 0 | Unit #1 Under Maintenance, Unit#2 Gas Shortage
 | 37 | Raozan 25 MW PP |  | IPP | 3*8.9 | 25.5 | 25.5 | 156709.8 | -
 | 38 | Teknaf  20MW PP (Solartech) |  | IPP | 0 | 20 | 0 | 118800 | -
 | 39 | Patenga 50MW PP (Baraka) |  | IPP | 8*6.98 | 50 | 6 | 151200 | Liquid fuel shortage
 | 40 | Karnaphuli Hydro PP Unit-1,2,3,4, 5 |  | PDB | 2*40+3*50 | 230 | 92 | 2133020 | -
 | 41 | Sikalbaha 225MW CCPP |  | PDB | 1*150+1*75 | 225 | 217 | 5136741 | -
 | 42 | Sikalbaha Peaking GT |  | PDB | 1*150 | 150 | 0 | 0 | -
 | 43 | Sikalbaha 105 MW PP (Baraka Sikalbaha) |  | IPP | 6*17.5 | 105 | 0 | 12545 | Liquid fuel shortage
 | 44 | Hathazari 100 MW peaking PP |  | PDB | 11*8.9 | 98 | 55 | 900432 | Liquid fuel shortage
 | 45 | Dohazari -Kalaish 100 MW Peaking |  | PDB | 6*17 | 102 | 33 | 230132 | -
 | 46 | Juldah 100 MW PP Unit-3 (Acorn) |  | IPP | 8*13.5 | 100 | 12 | 298560 | Liquid fuel shortage
 |  | Malancha, Ctg. EPZ (United) |  | IPP | 5*8.73+3*9.34 | 42 | 10 | 365280 | -
 | 47 | Chattogram 108 MW PP (ECPV) |  | IPP | 16*7 | 108 | 48 | 732480 | Liquid fuel shortage
 | 48 | Kaptai 7 MW  Solar PP |  | PDB | 0 | 6 | 0 | 23766 | -
 | 49 | Anwara 300 MW PP (United) |  | IPP | 17*17+24 | 300 | 16 | 381382 | Liquid fuel shortage
 | 50 | Jodiac Power |  | IPP | 3*18.55+1*3.6 | 54.363 | 54.36 | 331689 | -
 | 51 | Karnaphuli Power Ltd. |  | IPP | 18.415*6+6.5 | 110 | 17 | 424000 | Liquid fuel shortage
 | 52 | Juldah unit-2 (Acorn) |  | IPP | 8*13.6 | 100 | 12 | 288960 | Liquid fuel shortage
 | 53 | Anlima Energy Ltd. |  | IPP | 6*21.2 | 116 | 107 | 2553000 | FGMO
 | 54 | Mirsharai 150 MW BRPL |  | IPP | 18.5*9 | 163 | 0 | 0 | Under Maintenance
 | 55 | SS Power |  | IPP | 2*660 | 1224 | 1100 | 19063634 | Coal shortage
 | 56 | Cox's Bazar Wind |  | PDB | 22*3 | 60 | 14 | 242400 | -
 | 57 | Matarbari 2*600 MW (CPGCBL) |  | CPGCL | 2*600 | 1150 | 1135 | 16596363.64 | Machine Problem
 | Chattogram Area Total |  |  |  |  | 4898.863 | 2953.86 | 50141094.44
 | 58 | Ashuganj CCPP 225 MW |  | APSCL | 1X142+1X75 | 221.25 | 214 | 5064000 | Gas shortage
 | 59 | Ashuganj 450 MW CCPP(North) |  | APSCL | 1*360 | 350.01 | 290 | 7412500 | Gas shortage
 | 60 | Ashuganj 450 MW CCPP(South) |  | APSCL | 1*360 | 342.01 | 240 | 6700000 | Gas shortage
 | 61 | Ashuganj 420 MW CCPP(East) |  | APSCL | 284*1+116*1 | 393 | 220 | 5677000 | Gas shortage
 | 62 | Ashuganj TSK 50 MW PP |  | APSCL | 14*3.96 | 46.701 | 10 | 47952 | -
 | 63 | Ashuganj 55 MW PP (Precision) |  | QRPP | 15*4 | 52.824 | 0 | 0 | Gas shortage
 | 64 | Ashuganj 195 MW PP (APSCL-United) |  | IPP | 20X9.73+1X16 | 195 | 0 | 0 | Gas shortage
 | 65 | Ashuganj 51 MW PP (Midland) |  | IPP | 6X9.34 | 51 | 51 | 1226600 | -
 | 66 | Ashuganj 150MW PP (Midland) |  | IPP | 23X7.015 | 150 | 55 | 953454 | -
 | 67 | Titas 50 MW Peaking PP |  | PDB | 6*8.92 | 52 | 0 | 96320 | Engine Problem
 | 68 | Chandpur 150 MW CCPP |  | PDB | 1*106+1*57 | 163 | 50 | 1922741 | Gas shortage
 | 69 | Chandpur 200MW (Desh energy) |  | IPP | 12*18.4 | 200 | 104 | 1128000 | Liquid fuel shortage
 |  | Import (Tripura) |  | Import | 0 | 160 | 154 | 3942720 | -
 | 71 | Jangalia 52 MW PP (Lakdanavi) |  | IPP | 6*8.92 | 52.2 | 0 | 0 | -
 | 72 | Cumilla 25 MW PP (Summit) |  | SIPP,REB | 3*3.67+2*6.97 | 25 | 19 | 364780 | -
 | 73 | Feni Lanka Power |  | IPP | 7*18.415+1*9.78 | 114 | 0 | 0 | -
 | 74 | Chowmuhani 113 MW |  | IPP | 12*9.78+2*3.1 | 113 | 27 | 232680 | Liquid fuel shortage
 | 75 | Chandpur 115(Doreen) |  | IPP | 4*18.5+2*22.5 | 115 | 88 | 701760 | Liquid fuel shortage
 | 76 | Sonagazi 75 MW (AC) Solar Power Plant |  | EGCB | 0 | 75 | 0 | 400618 | -
 | Cumilla Area Total |  |  |  |  | 2870.995 | 1522 | 35871125
 |  | Muktagacha Solartech Energy Ltd |  | IPP | 1*20 | 20 | 0 | 138772 | -
 | 77 | RPCL 210MW CCPP |  | RPCL | 4*35+1*70 | 210 | 0 | 143040 | Low gas pressure
 | 79 | Sarishabari 3 MW Solar Plant |  | IPP | 0 | 2.71 | 0 | 14950 | -
 | 80 | Mymensingh 200 MW PP (United) |  | IPP | 9.78*21 | 200 | 97 | 1512000 | Liquid fuel shortage
 | 81 | Jamalpur 115 MW PP (United) |  | IPP | 9.78*12 | 115 | 58 | 1284000 | Liquid fuel shortage
 | 82 | Sutiakhali 50 MW Solar PP |  | IPP | 0 | 50 | 0 | 296130 | -
 | 83 | Tangail Palli Power Gen 22 MW |  | IPP | 4*6.7 | 22 | 0 | 32640 | Liquid fuel shortage
 | 84 | Bhairob 54.5 MW |  | IPP | 3*18.2 | 54.5 | 17 | 75600 | Liquid fuel shortage
 | Mymensingh Area Total |  |  |  |  | 674.21 | 172 | 3497132
 |  | Moulvibazar 10 MW Solar Power Plant |  | IPP | 1*10 | 0 | 0 | 65072 | -
 | 85 | Fenchugonj CCPP Phase-1 |  | PDB | 2*32+1*33 | 90 | 28 | 670000 | Plant availability less
 | 86 | Fenchugonj CCPP Phase-2 |  | PDB | 2*35+1*35 | 90 | 0 | 0 | Under Maintenance
 | 87 | Kushiara 163 MW CCPP (KP) |  | IPP | 1*109+1*54 | 163 | 148 | 3492654.55 | AGC
 | 88 | Shajibazar 330 MW CCPP |  | PDB | 3*110 | 330 | 143 | 3267000 | STG Under Maintenance
 | 91 | Shahjibazar GTPP Unit- 8 & 9 |  | PDB | 2*35 | 66 | 30 | 707520 | GT-9 Under Maintenance
 | 92 | Shahjibazar 86MW PP (Shahjibazar) |  | RPP | 32*2.90 | 86 | 82 | 1320000 | Gas Restrction
 | 93 | Shahjibazar 100 MW GTPP |  | PDB | 1*100 | 100 | 0 | 0 | machine problem
 | 94 | Sylhet 225 MW CCPP |  | PDB | 1*142+1*89 | 231 | 100 | 2403950 | ST Under Maintenance
 | 95 | Sylhet  20 MW GTPP |  | PDB | 1*20 | 20 | 0 | 0 | -
 | 96 | Shahjahanulla 25 MW PP |  | SIPP,REB | 3*9.34 | 25 | 17 | 345024 | -
